sample_type,x1,x2,actual_swap_test_loss,reconstruction_score,reconstruction_fidelity,trash_z_expectation
normal,0.5252840535696638,0.5252840535696638,0.000244140625,0.0005523845623326418,0.9994476154376674,0.9991030914197686
normal,0.4969300685788912,0.4969300685788912,0.0,4.07682546956778e-05,0.9999592317453043,0.9999402563804473
normal,0.5203264268316407,0.5203264268316407,0.000244140625,0.0003815668937023897,0.9996184331062976,0.9993602062237832
normal,0.45053525292870317,0.45053525292870317,0.00048828125,0.0016849182965434917,0.9983150817034565,0.997966252811099
normal,0.4670970604081671,0.4670970604081671,0.000244140625,0.0007393856097603901,0.9992606143902396,0.9991507589921158
normal,0.4500478486389917,0.4500478486389917,0.00048828125,0.0017188317646803508,0.9982811682353196,0.997923286044847
normal,0.4556679066470976,0.4556679066470976,0.00048828125,0.0013489599513287764,0.9986510400486712,0.9983905476779579
normal,0.5097703958874701,0.5097703958874701,0.0,0.00013224876838313637,0.9998677512316169,0.9997516449408188
normal,0.4608512691832527,0.4608512691832527,0.000244140625,0.0010488564243916754,0.9989511435756083,0.998766861355346
normal,0.5178033144410137,0.5178033144410137,0.0,0.00030778076848625435,0.9996922192315137,0.9994731027316124
normal,0.5169877962709108,0.5169877962709108,0.0,0.00028583385829261676,0.9997141661417074,0.999506998838444
normal,0.6012580493440052,0.6012580493440052,0.00244140625,0.007313125820438304,0.9926868741795617,0.9894094492272346
normal,0.43036054770665955,0.43036054770665955,0.000732421875,0.0033812387349358985,0.9966187612650641,0.9957991660759884
normal,0.5443951188917523,0.5443951188917523,0.00048828125,0.0015282427929381726,0.9984717572070618,0.9976763940939697
normal,0.4955256019055791,0.4955256019055791,0.0,4.497263448732802e-05,0.9999550273655127,0.9999416662018261
normal,0.49929851349345017,0.49929851349345017,0.0,4.0044489976409636e-05,0.9999599555100236,0.9999292810556248
normal,0.4275068089046694,0.4275068089046694,0.000732421875,0.003669730818768313,0.9963302691812317,0.9954282400793055
normal,0.4769903093637673,0.4769903093637673,0.0,0.0003653415562221429,0.9996346584437779,0.9996036072009741
normal,0.5371598631721977,0.5371598631721977,0.00048828125,0.001099880791506691,0.9989001192084933,0.9982976322002306
normal,0.49587608139913475,0.49587608139913475,0.0,4.366001782085682e-05,0.9999563399821791,0.9999416699808029
normal,0.5040527185205633,0.5040527185205633,0.0,6.26583856289109e-05,0.9999373416143711,0.9998747083023216
normal,0.48546416596997294,0.48546416596997294,0.0,0.00015759240140000852,0.9998424075986,0.9998405580616072
normal,0.5577284873493144,0.5577284873493144,0.000732421875,0.0025032353104265104,0.9974967646895735,0.9962743676172886
normal,0.4989263716478253,0.4989263716478253,0.0,3.962943653046391e-05,0.9999603705634695,0.9999317200121782
normal,0.3899792163758969,0.3899792163758969,0.002685546875,0.008588801052842543,0.9914111989471575,0.9890617231809299
normal,0.46539637247627547,0.46539637247627547,0.000244140625,0.0008180162218572873,0.9991819837781427,0.999053750409833
normal,0.40156016964598784,0.40156016964598784,0.00146484375,0.00684730296818592,0.9931526970318141,0.9913218492789123
normal,0.33742807922517304,0.33742807922517304,0.00439453125,0.018996113428275674,0.9810038865717243,0.9754931987494994
normal,0.4734942325113844,0.4734942325113844,0.0,0.00048129360061754944,0.9995187063993825,0.999465296261025
normal,0.5666779925051362,0.5666779925051362,0.0009765625,0.0032909041191747646,0.9967090958808252,0.9951474802703362
normal,0.5023559953065296,0.5023559953065296,0.0,5.0906528892280534e-05,0.9999490934711077,0.999899166178035
normal,0.44137271462975103,0.44137271462975103,0.00048828125,0.002380908409661653,0.9976190915903383,0.997080826042104
normal,0.45296500658987887,0.45296500658987887,0.00048828125,0.0015210608694419259,0.9984789391305581,0.9981735224331202
normal,0.5565306615125004,0.5565306615125004,0.000732421875,0.0024058887826861053,0.9975941112173139,0.9964138972835861
normal,0.5078813311699233,0.5078813311699233,0.0,0.00010414916585277378,0.9998958508341472,0.9997992321974655
normal,0.5023999620781029,0.5023999620781029,0.0,5.115953446188648e-05,0.9999488404655381,0.9998986021529276
normal,0.49732691055809713,0.49732691055809713,0.0,4.00898390402471e-05,0.9999599101609598,0.9999391700458153
normal,0.5019200130777673,0.5019200130777673,0.0,4.8546123469273006e-05,0.9999514538765307,0.9999045582476748
normal,0.5402702823471899,0.5402702823471899,0.00048828125,0.0012752873934224196,0.9987247126065776,0.9980426385066995
normal,0.5276283648678037,0.5276283648678037,0.000244140625,0.0006450433025001479,0.9993549566974999,0.998965250669584
normal,0.5107852350012247,0.5107852350012247,0.0,0.0001494212174963927,0.9998505787825036,0.99972326010651
normal,0.44785658212049945,0.44785658212049945,0.00048828125,0.001875612649259173,0.9981243873507408,0.9977243807911287
normal,0.5255554382454863,0.5255554382454863,0.000244140625,0.0005627211894366768,0.9994372788105633,0.9990876683840404
normal,0.4657876461003753,0.4657876461003753,0.000244140625,0.0007995526237263295,0.9992004473762737,0.9990765674417024
normal,0.5546922837950239,0.5546922837950239,0.000732421875,0.0022602144463953477,0.9977397855536047,0.9966228407602991
normal,0.4364474589137936,0.4364474589137936,0.000732421875,0.002806163623387703,0.9971938363766123,0.996536971327289
normal,0.49311895118622057,0.49311895118622057,0.0,5.872289593233937e-05,0.9999412771040677,0.999935249452145
normal,0.49963208568543643,0.49963208568543643,0.0,4.058395167350071e-05,0.9999594160483265,0.999926868573191
normal,0.43376772246779316,0.43376772246779316,0.000732421875,0.0030525867510688975,0.9969474132489311,0.9962211059393777
normal,0.586098582192824,0.586098582192824,0.00146484375,0.005361170630934553,0.9946388293690654,0.992193649013286
normal,0.5730203383629776,0.5730203383629776,0.001220703125,0.003913065567355933,0.9960869344326441,0.9942590870100039
normal,0.47682081191954584,0.47682081191954584,0.0,0.0003705549064979552,0.999629445093502,0.9995974485072356
normal,0.5385860582782261,0.5385860582782261,0.00048828125,0.001178667466490313,0.9988213325335097,0.9981829753403492
normal,0.5189338034835106,0.5189338034835106,0.0,0.00033974172718409523,0.9996602582728159,0.9994240186132473
normal,0.36932202683273707,0.36932202683273707,0.00341796875,0.012190832895590975,0.987809167104409,0.9843752508859891
normal,0.5125199008138795,0.5125199008138795,0.0,0.00018213039232850559,0.9998178696076715,0.9996701810822198
normal,0.49693279600833756,0.49693279600833756,0.0,4.076282611398252e-05,0.999959237173886,0.9999402499485821
normal,0.5041608676737265,0.5041608676737265,0.0,6.354576224920638e-05,0.9999364542377508,0.9998729620556918
normal,0.44615625400864106,0.44615625400864106,0.00048828125,0.0020021332696933403,0.9979978667303067,0.9975635707542713
normal,0.48653264768897975,0.48653264768897975,0.0,0.0001387422606047295,0.9998612577393953,0.9998605707008648
normal,0.49108706183088513,0.49108706183088513,0.0,7.677848790543784e-05,0.9999232215120946,0.9999211401679059
normal,0.5594047108606159,0.5594047108606159,0.000732421875,0.002642672969935256,0.9973573270300647,0.9960746268496384
normal,0.5167213530195507,0.5167213530195507,0.0,0.00027886508785646136,0.9997211349121435,0.999517798414996
normal,0.4997222484898668,0.4997222484898668,0.0,4.0756931319441136e-05,0.9999592430686806,0.9999261797680775
normal,0.576448499895547,0.576448499895547,0.001220703125,0.004271244645154937,0.9957287553548451,0.9937480224718445
normal,0.47223760351181765,0.47223760351181765,0.000244140625,0.0005273000897892954,0.9994726999102107,0.9994097857621329
normal,0.4805284847562308,0.4805284847562308,0.0,0.0002659989044764277,0.9997340010955236,0.999719452334168
normal,0.409162249433047,0.409162249433047,0.00146484375,0.005812670881885085,0.9941873291181149,0.992662031545168
normal,0.5784552923141806,0.5784552923141806,0.001220703125,0.004488002927348744,0.9955119970726513,0.9934388301406368
normal,0.5482166184097215,0.5482166184097215,0.00048828125,0.001783202052656363,0.9982167979473436,0.9973085666579793
normal,0.5458424022255854,0.5458424022255854,0.00048828125,0.0016224749915635384,0.9983775250084365,0.9975403130705817
normal,0.5334449223223469,0.5334449223223469,0.000244140625,0.0009077414248982452,0.9990922585751018,0.998578269364525
normal,0.5055074293831826,0.5055074293831826,0.0,7.598117908858004e-05,0.9999240188209114,0.9998493408386521
normal,0.5107744469591164,0.5107744469591164,0.0,0.00014923104270314624,0.9998507689572969,0.99972357220644
normal,0.48739967048663463,0.48739967048663463,0.0,0.00012465213954060417,0.9998753478604594,0.9998751884304412
normal,0.4898199787138527,0.4898199787138527,0.0,9.10303930310441e-05,0.999908969606969,0.9999083100041287
normal,0.5027151805856848,0.5027151805856848,0.0,5.305375188879857e-05,0.9999469462481112,0.9998944496983179
normal,0.5755914755781889,0.5755914755781889,0.001220703125,0.0041802679211480065,0.995819732078852,0.9938778126499486
normal,0.527784395090404,0.527784395090404,0.000244140625,0.0006514805132354917,0.9993485194867645,0.9989557063509347
normal,0.49707699371205694,0.49707699371205694,0.0,4.0490917449731434e-05,0.9999595090825503,0.9999398895123561
normal,0.4710303974778302,0.4710303974778302,0.000244140625,0.0005736557039351942,0.9994263442960648,0.9993535700832555
normal,0.468250075629417,0.468250075629417,0.000244140625,0.000688472174830701,0.9993115278251693,0.9992133273450269
normal,0.5801352505586245,0.5801352505586245,0.001220703125,0.004673468344871146,0.9953265316551289,0.9931743125399596
normal,0.5253343652113552,0.5253343652113552,0.000244140625,0.0005542931419298958,0.9994457068580701,0.9991002427227298
normal,0.5033775279155327,0.5033775279155327,0.0,5.74930278284258e-05,0.9999425069721716,0.9998851029323893
normal,0.48269090789236385,0.48269090789236385,0.0,0.00021418308827658716,0.9997858169117234,0.9997783137876841
normal,0.4445473294149736,0.4445473294149736,0.00048828125,0.00212577069150488,0.9978742293084951,0.9974061986046339
normal,0.4966569221265052,0.4966569221265052,0.0,4.1365620240152445e-05,0.9999586343797598,0.9999408280028779
normal,0.5436829017235101,0.5436829017235101,0.00048828125,0.0014829137606201526,0.9985170862393798,0.997741916412234
normal,0.4803731376581255,0.4803731376581255,0.0,0.0002699810522018842,0.9997300189477981,0.9997148751655509
normal,0.488637870849972,0.488637870849972,0.0,0.00010640159449104569,0.999893598405509,0.9998935462393882
normal,0.4889482824280511,0.4889482824280511,0.0,0.00010217120273170455,0.9998978287972683,0.9998976842816664
normal,0.5054797183999085,0.5054797183999085,0.0,7.569940873952685e-05,0.9999243005912605,0.9998498619859008
normal,0.42034945606271956,0.42034945606271956,0.001220703125,0.0044463869095314745,0.9955536130904685,0.9944276164994094
normal,0.4882300824017454,0.4882300824017454,0.0,0.00011216918411416366,0.9998878308158858,0.9998878273071932
normal,0.4572802240922964,0.4572802240922964,0.000244140625,0.0012513975581962544,0.9987486024418037,0.9985132170158063
normal,0.5442292516281303,0.5442292516281303,0.00048828125,0.0015176246698735962,0.9984823753301264,0.9976917386047871
normal,0.461470066171757,0.461470066171757,0.000244140625,0.00101565503873835,0.9989843449612616,0.9988082863488323
normal,0.5288523373650348,0.5288523373650348,0.000244140625,0.0006964436219709658,0.999303556378029,0.9988891415820408
normal,0.576221872636338,0.576221872636338,0.001220703125,0.004247094411967134,0.9957529055880329,0.9937824748214786
normal,0.4843201869359187,0.4843201869359187,0.0,0.00017959461783456643,0.9998204053821654,0.9998166846831771
normal,0.4699211873938267,0.4699211873938267,0.000244140625,0.0006181144290137164,0.9993818855709863,0.9992994216797574
normal,0.5095716129563046,0.5095716129563046,0.0,0.00012905501734084002,0.9998709449826592,0.9997569740576229
normal,0.4998985486195486,0.4998985486195486,0.0,4.1128565486103774e-05,0.9999588714345139,0.9999247877586395
normal,0.4503191826330144,0.4503191826330144,0.00048828125,0.0016999093497060969,0.9983000906502939,0.9979472625721331
normal,0.523045970785669,0.523045970785669,0.000244140625,0.00047103774955359334,0.9995289622504464,0.9992249497318622
normal,0.6007758026737704,0.6007758026737704,0.00244140625,0.007246578876148102,0.9927534211238519,0.989504420376252
normal,0.4870944002367138,0.4870944002367138,0.0,0.00012948995558037524,0.9998705100444196,0.9998702073455833
normal,0.48985619019676685,0.48985619019676685,0.0,9.059115755827296e-05,0.9999094088424417,0.9999087196798402
normal,0.4477533988215457,0.4477533988215457,0.00048828125,0.0018831692537503164,0.9981168307462497,0.9977147832587292
normal,0.5159544225843273,0.5159544225843273,0.0,0.00025936087392963714,0.9997406391260704,0.9995481281135042
normal,0.4376511887646186,0.4376511887646186,0.000732421875,0.0026989247904748437,0.9973010752095252,0.9966742766243271
