sample_type,a0,a1,swap_test_loss,reconstruction_fidelity_ideal,reconstruction_score_ideal,trash_z_expectation_ideal
anomaly,0.6858307591603443,0.32131342526891626,0.00146484375,0.9937544711809808,0.006245528819019186,0.9894176759153417
anomaly,0.2752729876352049,0.6494958651202362,0.0029296875,0.9919436206522209,0.008056379347779141,0.9857572545677737
anomaly,0.32326136565748376,0.722217050642208,0.00634765625,0.9856265093560175,0.014373490643982523,0.9722551080511159
anomaly,0.2544212778049013,0.6916489872463666,0.005126953125,0.9878731451714984,0.012126854828501621,0.9779912448220341
anomaly,0.330625120529776,0.6550845586205479,0.0029296875,0.9922524568939347,0.007747543106065291,0.9854603469202105
anomaly,0.7074967808459751,0.18167713993587348,0.009033203125,0.979897858763483,0.02010214123651699,0.9622680033195151
anomaly,0.6760530481539784,0.2023366758252021,0.0078125,0.9824647422963266,0.017535257703673368,0.9668036271577931
anomaly,0.7617306736985763,0.371822511831426,0.001220703125,0.9954390981504585,0.004560901849541499,0.9942274168973032
anomaly,0.31301277892042584,0.6362767506257268,0.002197265625,0.9934917736874306,0.006508226312569421,0.9882087434734153
anomaly,0.7790611605280122,0.2501068751075679,0.004638671875,0.9874694932704167,0.012530506729583335,0.9787983073690184
anomaly,0.6679723265053295,0.3286486300179333,0.00146484375,0.9943479364546924,0.005652063545307562,0.9903055558050802
anomaly,0.6479237362143425,0.30796174350943906,0.00244140625,0.9930166020578091,0.006983397942190939,0.9873537858648985
anomaly,0.3049993146120475,0.6442045883542304,0.00244140625,0.9928029552935005,0.007197044706499511,0.9869527922976267
anomaly,0.36931478290488073,0.6936934762396779,0.004638671875,0.9890049915527521,0.010995008447247878,0.9784894565513141
anomaly,0.7708654745833431,0.19894776496326594,0.007568359375,0.982097863936089,0.017902136063911,0.9679578486350405
anomaly,0.6828144625424439,0.30204117264042685,0.00244140625,0.9924131398025524,0.007586860197447587,0.9866995653959911
anomaly,0.3051494909786949,0.697072664740753,0.005126953125,0.9881320159098511,0.011867984090148886,0.9775626059186524
anomaly,0.8337445625129102,0.2839062695122899,0.003173828125,0.9897633101650339,0.010236689834966062,0.9846555912683875
anomaly,0.7770140676884271,0.29103702977488666,0.0029296875,0.9908830651177176,0.00911693488228238,0.985523083714422
anomaly,0.3410585054052918,0.6972015213675075,0.005126953125,0.9884802691218482,0.011519730878151835,0.9777491408633862
anomaly,0.2565994184758496,0.6870434421888263,0.004638671875,0.9883594443971503,0.011640555602849711,0.9789238032468597
anomaly,0.1483131942913547,0.7134899337079987,0.006591796875,0.9828955623757009,0.01710443762429914,0.9707875709903752
anomaly,0.3411703940338456,0.7537825991396847,0.00830078125,0.9819288707178069,0.01807112928219312,0.9645961577109468
anomaly,0.2916901237315638,0.8049545896905238,0.01318359375,0.9742634793667898,0.02573652063321019,0.9499089002403218
anomaly,0.32844342371836277,0.6574857363693032,0.0029296875,0.9920334062914858,0.007966593708514158,0.9850506449086195
anomaly,0.26799547556939435,0.7861929085909576,0.011474609375,0.9767088614386005,0.023291138561399527,0.9552512346786384
anomaly,0.2726011240844832,0.8055431813040572,0.01318359375,0.97391735122776,0.02608264877223998,0.9495493236847206
anomaly,0.2676942053779292,0.8154242398885689,0.0146484375,0.9723139139893584,0.027686086010641597,0.9464165584593718
anomaly,0.2949390250970419,0.7971993222276053,0.01220703125,0.9754715175205974,0.024528482479402647,0.9522833452839081
anomaly,0.27160919824300545,0.6828290366908812,0.00439453125,0.9890270881952031,0.01097291180479687,0.9799614446687868
anomaly,0.7353804491581514,0.41611684910832036,0.000732421875,0.9969870990045111,0.0030129009954888986,0.996756079745191
anomaly,0.20985391197667033,0.6654867821947588,0.00390625,0.9892738556749067,0.010726144325093334,0.9818681545517048
anomaly,0.2794671678923522,0.8067051398070129,0.01318359375,0.9738378961055563,0.026162103894443733,0.9492643248059037
anomaly,0.7033223344749895,0.3460708734280864,0.00146484375,0.9950669423837436,0.004933057616256398,0.9923330881195984
anomaly,0.35374537168428355,0.7336165396681666,0.0068359375,0.9845154795882238,0.01548452041177617,0.9696427353329744
anomaly,0.8243684217117426,0.36353240899793104,0.001220703125,0.994075939378565,0.005924060621435023,0.9929670961900409
